Word;French Translation;English Definition;Example Sentence;Example 2;Example 3
coarse;grossier / rugueux;rough or loose in texture;The fabric of this old shirt is very coarse and scratches my skin.;;
coarse;grossier / rugueux;rough or loose in texture or vulgar behavior;His coarse language and bad manners offended the guests at the dinner party.;;
coarse;grossier / rugueux;consisting of large grains or particles;You should use coarse sea salt to season the meat before grilling it.;;
disturbing;troublant / inquiétant;causing anxiety, interfering with the normal functioning;We received some disturbing news regarding the safety of the new bridge.;There was a disturbing silence in the room after he confessed the truth.;The documentary about the unsolved crime was deeply disturbing to watch.
immense;immense / gigantesque;very large in scale and degree;The project was an immense success, exceeding all our financial expectations.;She felt an immense sense of relief when she found her lost passport.;An immense crowd gathered in the square to hear the president speak.
mundane;banal / quotidien;something that lacks excitement and interest;I need to finish some mundane tasks like washing the dishes and paying bills.;He decided to leave his mundane job to travel the world and find adventure.;Their conversation was quite mundane, focusing mostly on the weather and traffic.
ongoing;continu / en cours;continuing, still in the progress;The police cannot comment on the case because it is an ongoing investigation.;There is an ongoing debate among scientists about the causes of this phenomenon.;Maintenance of the old building is an ongoing expense that we must budget for.
sturdy;vigoureux / robuste;strongly and solidly built (object or person);We need a sturdy table to hold the weight of this heavy machinery.;The hiker wore sturdy boots to protect his feet on the rocky trail.;Although he is old, he remains sturdy and works in the garden every day.
well-suited;bien adapté;made well and adequately for;With her experience in management, she is well-suited for the CEO position.;This type of cactus is well-suited for dry and hot climates.;Everyone thought the couple was well-suited because they shared so many interests.
alter;modifier / changer;to change or cause something to change;We had to alter our travel plans at the last minute due to the snowstorm.;The dress was too loose, so I took it to a tailor to have it altered.;Substance abuse can significantly alter a person's behavior and personality.
assert;affirmer / revendiquer;state a fact or belief with confidence;The teacher had to assert his authority to get the noisy students to listen.;He continued to assert that the government's policy was completely wrong.;You must assert your rights if you want to be treated fairly by the company.
baffle;laisser perplexe / dérouter;leaving someone feeling perplex;The detectives were baffled by the complete lack of physical evidence at the crime scene.;The complexity of the mathematical problem seemed to baffle even the professor.;Her decision to quit her job without notice baffled all her colleagues.
bear;supporter / porter;to endure a difficulty or carry a weight;She could hardly bear the pain of her injury without medication.;The ice on the lake is too thin to bear your weight, so do not walk on it.;As the team leader, you must bear the responsibility for this mistake.
crush;écraser / broyer;to deform or pulverize by pressing with force;Be careful not to crush the delicate flowers when you walk through the garden.;The general sent more troops to crush the rebellion before it could spread.;Her criticism was so harsh that it seemed to crush his confidence entirely.
cultivate;cultiver;to develop a particular quality or prepare land;The farmers in this region cultivate rice and corn as their main crops.;It is important to cultivate good relationships with your clients for long-term success.;She tried to cultivate an image of sophistication by wearing expensive clothes.
dictate;dicter;to lay down the authority or read aloud;The terms of the surrender were dictated by the winning army.;He dictated a long letter to his secretary, who typed it out immediately.;We cannot let our fear dictate our future actions
distinguish;distinguer;to recognize or treat differently;The twins look so much alike that it is impossible to distinguish one from the other.;Fog covered the harbor, making it hard to distinguish the ships in the distance.;She managed to distinguish herself as the most talented musician in the orchestra.
embody;incarner;to give a visible form to something abstract;The statue was designed to embody the spirit of freedom and democracy.;A good leader should embody the values of honesty and integrity.;She seems to perfectly embody the character she plays in the movie.
emit;émettre;to discharge or produce something (sound, light, gas);The factory was fined because it continued to emit toxic fumes into the air.;Fireflies emit a soft, yellow light to attract mates during the night.;The device will emit a high-pitched beep if the battery is running low.
enhance;améliorer / rehausser;to increase or improve the quality or value;The chef uses specific herbs to enhance the natural flavor of the fish.;Good lighting can greatly enhance the atmosphere of a room.;Reading books in English is a great way to enhance your vocabulary.
evolve;évoluer;to develop gradually;Over millions of years, species evolve to adapt to their changing environments.;Our marketing strategy needs to evolve if we want to reach a younger audience.;What started as a small protest quickly evolved into a nationwide movement.
