Word;French Translation;English Definition;Example Sentence;Example 2;Example 3
constantly;constamment / continuellement;all the time, or often;The software on my computer is constantly asking for updates, which is annoying.;He is constantly complaining about the weather, but he never moves to a sunnier place.;The market is changing constantly, so we must adapt our strategy every week.
distinct;distinct / séparé / net;clearly noticeable, easy to identify;There is a distinct smell of burning wood in the air;The two species of birds are distinct, even though they look somewhat similar.;I got the distinct impression that she was lying to me during the interview.
dormant;dormant / inactif;inactive, but which could become active in the future;The volcano has been dormant for 500 years, but scientists believe it could erupt again.;Bears remain dormant in their dens during the long winter months.;The virus can lie dormant in the body for years before symptoms appear.
drab;morne / terne;boring, without bright color;The office walls were painted a drab gray, making the room feel depressing.;She grew tired of her drab uniform and longed to wear colorful dresses again.;His presentation was quite drab and failed to capture the audience's attention.
dramatic;dramatique / spectaculaire;full of action and excitement or sudden and striking;There has been a dramatic increase in sales since we launched the new website.;She made a dramatic entrance at the party, wearing a bright red gown.;Don't be so dramatic
elaborate;détaillé / complexe / élaborer;containing a lot of detail OR to explain further;The ceiling of the palace was decorated with elaborate carvings and gold leaf.;He prepared an elaborate dinner with five different courses for his guests.;Could you please elaborate on your idea? I don't fully understand it yet.
elementary;élémentaire;basic;My knowledge of coding is very elementary;Sherlock Holmes often said the solution was elementary, but Watson was always confused.;They made an elementary mistake in the calculation that ruined the whole experiment.
erratic;inégal / irrégulier / imprévisible;in a way that is not regular, certain or expected;The stock market has been erratic lately, causing investors to panic.;His breathing became erratic after running the marathon.;Because of her erratic work schedule, it is hard to plan meetings with her.
genuine;véritable / authentique;real, honest, sincere;This purse is made of genuine leather, not plastic.;She showed genuine concern for the homeless people in her community.;I think he is a genuine person
mammoth;colossal / titanesque;huge, very big;Cleaning up the ocean is a mammoth task that requires international cooperation.;The construction company built a mammoth shopping mall in the center of the city.;The mammoth corporation bought out all its smaller competitors.
overbearing;autoritaire / dominateur;telling other people what to do in an excessively authoritarian manner;I moved out because I couldn't handle my overbearing father anymore.;Her boss has an overbearing management style that makes everyone nervous.;The heat in the desert can be overbearing during the middle of the day.
prime;premier / principal / de choix;main, most important or best quality;The prime minister will give a speech tonight regarding the economy.;The police consider him the prime suspect in the robbery case.;This restaurant serves prime cuts of steak that are incredibly tender.
rudimentary;rudimentaire / élémentaire;basic;The tribe only had rudimentary tools made of stone and wood.;He has only a rudimentary grasp of French, so he struggles to order food.;The shelter provided was rudimentary, offering only a roof and a dirt floor.
derive;extraire / dériver / tirer;to obtain something from something else;Many modern medicines are derived from rare plants found in the rainforest.;He derives a lot of pleasure from painting landscapes on the weekend.;The word 'democracy' derives from the Greek language.
disperse;disperser / diffuser;to spread over a large area;The seeds of this flower are light enough for the wind to disperse them.;The fog began to disperse as soon as the sun came up.;Police used tear gas to disperse the violent protesters.
eliminate;éliminer / faire disparaître;to remove or take away;The doctor told him to eliminate sugar from his diet to improve his health.;Our team was eliminated from the tournament in the semi-finals.;New technology creates jobs, but it can also eliminate old ones.
encircle;encercler / entourer;to surround, make a circle around something;Tall medieval walls encircle the old town, protecting its history.;The enemy troops tried to encircle the base and cut off supplies.;A beautiful gold chain encircled her neck.
engender;engendrer / susciter;to make something exist (feeling or situation);His rude comments engendered a lot of anger among the staff.;Confidence in the leader can engender loyalty in the team.;Poverty can often engender crime in neglected neighborhoods.
engross;absorber / captiver;to be so interesting as to absorb someone completely;She was so engrossed in her book that she missed her train stop.;The video game is designed to engross players for hours at a time.;The lecture was fascinating and engrossed the entire audience.
manage;gérer / arriver à;to succeed in doing something OR to control;I don't know how you manage to work full-time and raise three kids.;He was hired to manage the finance department of the company.;Can you manage this heavy box on your own, or do you need help?
mortify;mortifier / humilier;to make someone very embarrassed;She was mortified when she realized she had her shirt on inside out.;It would mortify me to have to sing in front of a large crowd.;His parents were mortified by his bad behavior at the wedding.
obtain;obtenir;to get something;You need to obtain a permit from the city before you can build a garage.;Police are trying to obtain surveillance footage from the store.;It is difficult to obtain fresh vegetables in this remote area.
reject;refuser / rejeter;to refuse to accept, believe or use;The bank had to reject his loan application due to his poor credit score.;Her body began to reject the kidney transplant shortly after the surgery.;He rejected the idea that money brings happiness.
justify;justifier / légitimer;to be a good reason for;How can you justify spending so much money on a car?;The end does not always justify the means.;He tried to justify his lateness by blaming the traffic.
accolade;distinction / éloge / accolade;an award or privilege granted for a person's good actions;The restaurant received the highest accolade: three Michelin stars.;She has won many accolades for her acting, including an Oscar.;Despite the critical accolades, the movie did not make much money.
amenity;aménagement / équipement;a place or feature designed to make life more pleasant;The hotel offers many amenities, including a pool, a gym, and free Wi-Fi.;The apartment is small, but it is close to local amenities like shops and parks.;Running water is a basic amenity that everyone should have access to.
flaw;défaut / imperfection / faille;a fault, mistake or weakness;There is a major flaw in your logic that makes the whole argument invalid.;This diamond is expensive because it does not have a single visible flaw.;His jealousy is a character flaw that ruined his marriage.
harvest;récolte / moisson;the cutting, picking or collecting crops;The farmers are working late because the wheat harvest has begun.;It was a bad year for the grape harvest due to the heavy rains.;We must harvest the apples before the first frost arrives.
idol;idole;a person who is much admired and respected;Elvis Presley was a massive idol for teenagers in the 1950s.;As a young footballer, his idol was always Lionel Messi.;The ancient temple contained a gold idol that people worshipped.
particle;particule;an extremely small amount of something;Physics studies how subatomic particles interact with each other.;There isn't a single particle of truth in the rumors spreading about him.;Dust particles in the air can trigger asthma attacks.
